Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,114.3,-78.74,90,top
C2,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,132.08,-86.36,90,top
C3,1u,C_Disc_D4.3mm_W1.9mm_P5.00mm,152.32,-71.12,180,top
C4,10u,C_Disc_D4.3mm_W1.9mm_P5.00mm,137.08,-73.66,180,top
C5,100n,C_Disc_D4.3mm_W1.9mm_P5.00mm,137.08,-76.2,180,top
C6,10u,C_Disc_D4.3mm_W1.9mm_P5.00mm,109.3,-86.36,0,top
C7,100n,C_Disc_D4.3mm_W1.9mm_P5.00mm,109.3,-83.82,0,top
C8,10u,C_Disc_D4.3mm_W1.9mm_P5.00mm,165.02,-73.66,180,top
C9,10u,C_Disc_D4.3mm_W1.9mm_P5.00mm,137.24,-86.36,0,top
C10,100n,C_Disc_D4.3mm_W1.9mm_P5.00mm,165.02,-76.2,180,top
C11,100n,C_Disc_D4.3mm_W1.9mm_P5.00mm,137.24,-83.82,0,top
D1,1N5230,D_A-405_P10.16mm_Horizontal,114.3,-119.38,-90,top
D2,1N5230,D_A-405_P10.16mm_Horizontal,129.54,-119.38,-90,top
D3,1N5230,D_A-405_P10.16mm_Horizontal,144.78,-119.38,-90,top
J1,Conn_01x10_Pin,JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical,141,-55.5,180,top
J2,Conn_01x10_Pin,JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical,121,-55.5,180,top
J6,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,110,-145.21,90,top
J7,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,126,-145.21,90,top
J8,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,142,-145.21,90,top
J9,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,158,-145.21,90,top
J10,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,174,-145.21,90,top
J11,Conn_Coaxial,SMA_Molex_73251-1153_EdgeMount_Horizontal,190,-145.21,90,top
J13,Screw_Terminal_01x02,TerminalBlock_bornier-2_P5.08mm,177.8,-76.2,0,top
R1,100R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,111.76,-104.14,-90,top
R2,100R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,121.92,-104.14,-90,top
R3,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,116.84,-114.3,90,top
R4,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,127,-114.3,90,top
R5,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,137.16,-114.3,90,top
R6,100R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,132.08,-104.14,-90,top
R7,2.5R,R_Axial_Power_L25.0mm_W6.4mm_P30.48mm,152.4,-124.46,90,top
R8,2.5R,R_Axial_Power_L25.0mm_W6.4mm_P30.48mm,165.1,-124.465,90,top
R9,2.5R,R_Axial_Power_L25.0mm_W6.4mm_P30.48mm,177.8,-124.465,90,top
R10,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,106.68,-129.54,90,top
R11,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,124.46,-129.54,90,top
R12,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,139.7,-129.54,90,top
U1,AD823,DIP-8_W7.62mm_Socket_LongPads,119.38,-76.2,0,top
U2,AD823,DIP-8_W7.62mm_Socket_LongPads,147.32,-76.2,0,top
U3,IRF510,TO-220-3_Vertical,152.4,-134.62,0,top
U4,IRF510,TO-220-3_Vertical,165.1,-134.62,0,top
U5,IRF510,TO-220-3_Vertical,177.8,-134.62,0,top
